Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
0.5k,26.131160736083984,0.7502573728561401,0.2858191132545471,20271347,1139339
1k,26.408527374267578,0.75719153881073,0.27745404839515686,20591867,1131806
2k,26.385356903076172,0.7597361207008362,0.273100346326828,21108132,1128208
4k,26.508317947387695,0.7641165256500244,0.26767730712890625,21566866,1120002
8k,26.589502334594727,0.7669328451156616,0.26449987292289734,22733092,1142240
16k,26.646116256713867,0.7691962122917175,0.2606600821018219,23700258,1139265
