Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
1k,24.734447479248047,0.7273896932601929,0.2879113256931305,24101368,1239901
2k,24.82549476623535,0.7326738834381104,0.28115344047546387,25011660,1247814
4k,24.939603805541992,0.7368935942649841,0.2766168713569641,25637392,1240904
8k,24.970979690551758,0.738475501537323,0.27371683716773987,26679724,1247258
16k,24.978090286254883,0.7414441108703613,0.26968371868133545,27616251,1234897
