Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
0.5k,27.782794952392578,0.889701247215271,0.22262045741081238,7144804,378046
1k,28.006986618041992,0.8947558999061584,0.21464017033576965,7340996,377781
2k,28.241708755493164,0.8989375829696655,0.208794504404068,7634667,378228
4k,28.486576080322266,0.9021797776222229,0.20424136519432068,7985140,379125
8k,28.595060348510742,0.9046979546546936,0.20061896741390228,8439744,378058
16k,28.73488426208496,0.9064984917640686,0.19848309457302094,9193263,377624
