Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
0.5k,30.69808578491211,0.9137760996818542,0.22025512158870697,5687339,319862
1k,31.016904830932617,0.9169278144836426,0.21504928171634674,5832212,319982
2k,31.090341567993164,0.9189062118530273,0.21224482357501984,6046906,320101
4k,31.351425170898438,0.9205841422080994,0.20911791920661926,6340714,321518
8k,31.44646453857422,0.9219771027565002,0.20712940394878387,6735734,320651
16k,31.513608932495117,0.9227051138877869,0.2050512582063675,7446190,321189
