Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
0.5k,20.855850219726562,0.5576936602592468,0.3997390866279602,18057709,1012792
1k,20.959680557250977,0.5637305378913879,0.39474961161613464,18297605,1004002
2k,21.05689239501953,0.5681054592132568,0.3898419141769409,18997571,1013937
4k,21.098960876464844,0.571538507938385,0.38747578859329224,19429744,1007620
8k,21.14366340637207,0.5754170417785645,0.38334962725639343,20206593,1012499
16k,21.219762802124023,0.5786459445953369,0.3802104890346527,21268374,1017179
