Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
0.5k,26.280000686645508,0.8238508701324463,0.17855213582515717,23612225,1332637
1k,26.50150489807129,0.8296718597412109,0.17044784128665924,24149669,1333989
2k,26.643911361694336,0.834630012512207,0.16433610022068024,24768535,1334106
4k,26.74466896057129,0.8378228545188904,0.16000013053417206,25444201,1334876
8k,26.87261390686035,0.841334342956543,0.15511934459209442,26274812,1336193
16k,26.977195739746094,0.844081699848175,0.15168850123882294,27379912,1337001
