Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
0.5k,22.56195831298828,0.6254605054855347,0.3838442862033844,17309537,973162
1k,22.543724060058594,0.6283446550369263,0.379677414894104,18170233,998863
2k,22.58660125732422,0.6313146352767944,0.3771238923072815,17798426,951347
4k,22.54279136657715,0.6333496570587158,0.37142837047576904,19121795,993908
8k,22.74080467224121,0.635816216468811,0.3700588345527649,19450394,975676
16k,22.707923889160156,0.6369157433509827,0.3676764667034149,20269222,968956
