Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
0.5k,21.519128799438477,0.7916120886802673,0.24740472435951233,9625307,505582
1k,21.566774368286133,0.7984917759895325,0.23893803358078003,9934008,507830
2k,21.785451889038086,0.8018075823783875,0.23249876499176025,10274745,507406
4k,21.68423080444336,0.8036747574806213,0.22895364463329315,10620566,504856
8k,21.911462783813477,0.807533860206604,0.22380751371383667,11211743,507247
16k,22.062747955322266,0.8098983764648438,0.22100870311260223,12030554,506831
