Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
0.5k,24.690387725830078,0.8619969487190247,0.1783481389284134,9783064,545613
1k,24.797672271728516,0.8660976886749268,0.17227832973003387,10053756,548010
2k,24.966917037963867,0.8687309622764587,0.16807734966278076,10304620,544460
4k,25.096418380737305,0.8715507984161377,0.1642490029335022,10664879,544586
8k,25.17865562438965,0.8733729720115662,0.16133186221122742,11207151,546841
16k,25.176542282104492,0.8740412592887878,0.1593531370162964,11935013,543605
