Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
0.5k,29.06484031677246,0.9030889272689819,0.2546525001525879,13612566,723547
1k,29.311294555664062,0.9044184684753418,0.2505137026309967,14000845,724208
2k,29.30324363708496,0.9048073291778564,0.25010713934898376,14430981,722637
4k,29.412250518798828,0.9056965708732605,0.24828879535198212,14947360,723125
8k,29.507476806640625,0.9060918092727661,0.24715811014175415,15619420,724187
16k,29.41077423095703,0.9053014516830444,0.2468096762895584,16489696,721066
